Date,Closed_Ledgers,7_Day_MA,14_Day_MA,Lag_1,Lag_7,Lag_14
2017-08-20,0.7477166632839456,0.6346815130178479,0.6320474777448074,0.6657183499288762,0.6066098081023454,0.5613839285714286
2017-08-21,0.6182261010757053,0.6392336662845914,0.6322230611205726,0.7474090631985368,0.5692963752665245,0.5779017857142857
2017-08-22,0.5173533590420134,0.6431635827738655,0.6311520025284005,0.6177606177606177,0.4673773987206823,0.4828125
2017-08-23,0.5141059468236249,0.6504666775831014,0.6325742278721048,0.5167648851859378,0.4420042643923241,0.4475446428571428
2017-08-24,0.5429267302618226,0.6548550843294575,0.6360507787122717,0.5135135135135135,0.4912579957356077,0.453125
2017-08-25,0.6030038563020094,0.6567545439659401,0.6368584622407951,0.5423694371062792,0.5705756929637527,0.553125
2017-08-26,0.5137000202963263,0.6321598166038968,0.6241637841729142,0.6025198130461288,0.6492537313432836,0.6265625
2017-08-27,0.6046275624112035,0.6090715572294083,0.6223552754025249,0.5131070920544605,0.7349680170575693,0.5881696428571429
2017-08-28,0.5709356606454232,0.6014409693794003,0.6207047916703246,0.604145498882341,0.5989339019189766,0.5491071428571429
2017-08-29,0.6228942561396388,0.61847060749959,0.6319421277193475,0.5704125177809388,0.4929637526652452,0.4424107142857142
2017-08-30,0.6097016440024355,0.6338955297199936,0.6441276139975065,0.6224344645397277,0.4895522388059701,0.4158482142857143
2017-08-31,0.6340572356403491,0.6485999672506956,0.6543641248046637,0.6092257671205039,0.5198294243070363,0.4674107142857143
2017-09-01,0.5536837832352344,0.6406418863599144,0.6511158323529929,0.6336110546636863,0.5829424307036247,0.5504464285714286
2017-09-02,0.674649888370205,0.666612084493204,0.65185328253121,0.5531396057711847,0.4891257995735608,0.6328125
2017-09-03,0.649279480414045,0.6738169313902076,0.6433374888065595,0.6742532005689901,0.5846481876332622,0.7225446428571428
2017-09-04,0.6182261010757053,0.6814475192402156,0.6433374888065595,0.6488518593781751,0.5492537313432836,0.5801339285714285
2017-09-05,0.6427846559772681,0.68465695103979,0.6541885414288976,0.6177606177606177,0.6038379530916844,0.4691964285714285
2017-09-06,0.5733712198092146,0.6787948256099555,0.6593155760012639,0.6423491160333266,0.5899786780383796,0.465625
2017-09-07,0.5747919626547595,0.6692320288193873,0.6620722350007899,0.5728510465352571,0.6155650319829424,0.4973214285714286
2017-09-08,0.5315607874974629,0.665662354674963,0.6558917001738278,0.5742735216419427,0.5311300639658849,0.5633928571428571
2017-09-09,0.6517150395778364,0.6619616833142291,0.6678313697259144,0.5309896362527942,0.6582089552238806,0.4651785714285714
2017-09-10,0.7243758879642784,0.6740789258228262,0.6781907888961068,0.6512903881324934,0.6315565031982943,0.5651785714285714
2017-09-11,0.7229551451187335,0.6909775667267072,0.691341983740979,0.7240398293029872,0.5989339019189766,0.528125
2017-09-12,0.7229551451187335,0.7039135418372354,0.699998244166242,0.7226173541963016,0.6247334754797441,0.5852678571428571
2017-09-13,0.7416277653744672,0.7310627149173078,0.7114111635910312,0.7226173541963016,0.5518123667377399,0.5707589285714286
2017-09-14,0.6894662066166024,0.7495660717209758,0.7162045897494425,0.7413127413127413,0.5533049040511727,0.5975446428571428
2017-09-15,0.6803328597523848,0.7735713116096282,0.7271609923972395,0.6890875838244259,0.5078891257995736,0.5091517857142858
2017-09-16,0.8159123198701035,0.8000654986081542,0.739381595350552,0.6799431009957326,0.6341151385927505,0.6421875
2017-09-17,0.7925715445504363,0.8110692647781231,0.7517777816796306,0.8156878683194473,0.7104477611940299,0.6142857142857143
2017-09-18,0.7686218794398214,0.8184378581955134,0.7647885098238902,0.7923186344238976,0.7089552238805971,0.5801339285714285
2017-09-19,0.7600974223665516,0.8244309808416567,0.7749372289431639,0.7683397683397684,0.7089552238805971,0.6071428571428571
2017-09-20,0.6880454637710575,0.8157851645652524,0.7848576896739415,0.7598049176996545,0.7285714285714285,0.5308035714285714
2017-09-21,0.6521209661051349,0.8097592926150315,0.7915474162906255,0.6876651087177403,0.673773987206823,0.5323660714285714
2017-09-22,0.4737162573574183,0.7764205010643518,0.7865432900812954,0.6516968095915464,0.664179104477612,0.4848214285714285
2017-09-23,0.6612543129693526,0.7514655313574584,0.7873685319473952,0.4730745783377362,0.8066098081023454,0.6169642857142857
2017-09-24,0.506190379541303,0.7052562633044047,0.7684933190525521,0.6608412924202398,0.7820895522388059,0.696875
2017-09-25,0.5796630809823422,0.6747666612084493,0.7560971327234736,0.5055882950619792,0.7569296375266524,0.6953125
2017-09-26,0.4396184290643393,0.6230555100704104,0.7315856934665422,0.5791505791505791,0.7479744136460554,0.6953125
2017-09-27,0.3791353764968541,0.5732110692647782,0.7002265025547381,0.438935175777281,0.6722814498933902,0.7158482142857143
2017-09-28,0.4089709762532981,0.5339774029801864,0.6759608800238791,0.3783783783783784,0.63454157782516,0.6584821428571429
2017-09-29,0.4386036127460929,0.5283117733748154,0.6550488999701508,0.4082503556187766,0.4471215351812366,0.6484375
2017-09-30,0.4755429267302618,0.4983461601440964,0.6256035678541957,0.4379191221296484,0.644136460554371,0.7975446428571429
2017-10-01,0.3836005682971382,0.4785655804814143,0.59022351763735,0.4749034749034749,0.4812366737739872,0.771875
2017-10-02,0.4720925512482241,0.4612084493204514,0.5645707864379403,0.3828490144279618,0.5584221748400853,0.7455357142857143
2017-10-03,0.4414450984371829,0.4615031930571477,0.5370041964426807,0.471448892501524,0.4113006396588486,0.7361607142857143
2017-10-04,0.5055814897503552,0.4819060094972984,0.5212192509613187,0.4407640723430197,0.3477611940298507,0.6569196428571429
